epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1058.46,0.7629,0.79399,0.9988,0.98768,0.99401,0.995,0.83866,0.66692,0.61793,0.90945,0.000960425,0.000960425,0.000960425
119,1067.42,0.70296,0.6185,0.94754,0.98268,0.99685,0.995,0.83591,0.67008,0.62849,0.91505,0.00095795,0.00095795,0.00095795
120,1076.77,0.76193,0.62395,0.93793,0.98612,0.98926,0.995,0.83466,0.66595,0.6244,0.91845,0.000955475,0.000955475,0.000955475
121,1085.9,0.73262,0.63346,0.92122,0.99522,0.98091,0.995,0.8387,0.64693,0.59844,0.91352,0.000953,0.000953,0.000953
122,1094.59,0.70744,0.66979,0.92742,0.99211,0.97898,0.995,0.83468,0.65451,0.57446,0.91425,0.000950525,0.000950525,0.000950525
123,1103.69,0.73426,0.57516,0.93225,0.98491,0.98608,0.995,0.83123,0.67371,0.57796,0.92052,0.00094805,0.00094805,0.00094805
124,1112.51,0.72447,0.56482,0.9347,0.99162,0.98217,0.995,0.83507,0.67091,0.58316,0.92113,0.000945575,0.000945575,0.000945575
125,1121.33,0.71805,0.63738,0.91256,0.98309,0.99743,0.99477,0.833,0.66312,0.58156,0.91682,0.0009431,0.0009431,0.0009431
126,1130.07,0.72626,0.62679,0.92574,0.98415,0.99379,0.99477,0.83106,0.65913,0.58086,0.91506,0.000940625,0.000940625,0.000940625
127,1138.85,0.67747,0.60131,0.90433,0.98795,0.99219,0.99456,0.83566,0.65666,0.57943,0.91723,0.00093815,0.00093815,0.00093815
128,1147.58,0.73605,0.61652,0.90699,0.98659,0.99219,0.99477,0.83156,0.65277,0.5754,0.91649,0.000935675,0.000935675,0.000935675
129,1156.66,0.71107,0.62654,0.94968,0.98952,0.99638,0.995,0.83374,0.65211,0.56701,0.91637,0.0009332,0.0009332,0.0009332
130,1165.39,0.7139,0.6238,0.91891,0.98442,0.99219,0.99417,0.83796,0.6653,0.58419,0.92258,0.000930725,0.000930725,0.000930725
131,1174.18,0.67977,0.5916,0.95411,0.98747,0.99219,0.99382,0.83715,0.65262,0.61102,0.92191,0.00092825,0.00092825,0.00092825
