epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,190.636,0.62761,0.57726,0.90052,0.97233,0.94745,0.97799,0.81886,0.68113,0.6937,0.9224,0.0008738,0.0008738,0.0008738
154,191.862,0.67977,0.59529,0.88932,0.92762,0.9525,0.97602,0.82346,0.68292,0.71186,0.91802,0.000871325,0.000871325,0.000871325
155,193.242,0.70024,0.60039,0.90641,0.97917,0.95303,0.9787,0.81536,0.69525,0.71461,0.92047,0.00086885,0.00086885,0.00086885
156,194.452,0.67217,0.57647,0.8896,0.97772,0.95976,0.97929,0.80847,0.7052,0.72448,0.92636,0.000866375,0.000866375,0.000866375
157,195.674,0.6796,0.60881,0.88474,0.93135,0.96214,0.97103,0.80733,0.69412,0.73714,0.92653,0.0008639,0.0008639,0.0008639
158,196.888,0.68341,0.57599,0.91642,0.89488,0.96933,0.94021,0.77458,0.7032,0.77512,0.93061,0.000861425,0.000861425,0.000861425
159,198.097,0.67782,0.57404,0.88016,0.8736,0.9264,0.92184,0.75506,0.72453,0.81753,0.94684,0.00085895,0.00085895,0.00085895
160,199.312,0.66605,0.60662,0.91855,0.87092,0.92476,0.91636,0.74336,0.75393,0.83388,0.96934,0.000856475,0.000856475,0.000856475
161,200.496,0.67569,0.57605,0.87611,0.84653,0.96422,0.93615,0.76527,0.74268,0.8059,0.95642,0.000854,0.000854,0.000854
162,201.705,0.72445,0.59543,0.90347,0.84794,0.97516,0.95836,0.79342,0.68589,0.77517,0.92714,0.000851525,0.000851525,0.000851525
163,202.944,0.64993,0.58956,0.9052,0.85972,0.98105,0.97759,0.81607,0.66716,0.71736,0.91969,0.00084905,0.00084905,0.00084905
164,204.271,0.66148,0.58907,0.88359,0.88379,0.95321,0.977,0.81238,0.67611,0.70478,0.92214,0.000846575,0.000846575,0.000846575
165,205.489,0.69385,0.59759,0.91523,0.88584,0.95569,0.9804,0.80803,0.70707,0.70245,0.93773,0.0008441,0.0008441,0.0008441
166,206.689,0.66025,0.56448,0.90045,0.91407,0.95747,0.98823,0.81971,0.71306,0.6967,0.95105,0.000841625,0.000841625,0.000841625
167,207.912,0.65297,0.56128,0.91555,0.92721,0.97321,0.99243,0.82058,0.7073,0.68434,0.95874,0.00083915,0.00083915,0.00083915
168,209.138,0.64773,0.58709,0.88298,0.92984,0.97689,0.99302,0.82815,0.69434,0.67739,0.94584,0.000836675,0.000836675,0.000836675
169,210.419,0.67306,0.57962,0.89408,0.93151,0.99273,0.99103,0.82514,0.67929,0.655,0.92767,0.0008342,0.0008342,0.0008342
170,211.619,0.67949,0.58696,0.91658,0.92244,0.99467,0.98971,0.83117,0.67503,0.63992,0.9208,0.000831725,0.000831725,0.000831725
171,212.792,0.65073,0.56059,0.90442,0.93268,0.99532,0.9892,0.83687,0.66,0.6115,0.91611,0.00082925,0.00082925,0.00082925
172,214.053,0.70039,0.56173,0.9085,0.97502,0.9722,0.99007,0.84036,0.63656,0.56338,0.91053,0.000826775,0.000826775,0.000826775
173,215.285,0.70331,0.56427,0.91454,0.98156,0.98112,0.99247,0.84252,0.63494,0.54611,0.9117,0.0008243,0.0008243,0.0008243
174,216.526,0.64506,0.55376,0.88448,0.97952,0.99452,0.99386,0.83395,0.66553,0.53761,0.92087,0.000821825,0.000821825,0.000821825
175,217.705,0.72343,0.56122,0.92349,0.98097,0.99211,0.99386,0.83451,0.66709,0.54263,0.9207,0.00081935,0.00081935,0.00081935
176,218.873,0.63959,0.57387,0.89798,0.97693,0.99153,0.99364,0.84862,0.64082,0.53599,0.90856,0.000816875,0.000816875,0.000816875
177,220.093,0.65332,0.5903,0.90172,0.9795,0.98591,0.99386,0.84956,0.64036,0.55042,0.90821,0.0008144,0.0008144,0.0008144
178,221.302,0.63053,0.54492,0.86445,0.98071,0.98781,0.99432,0.84588,0.64775,0.55629,0.91437,0.000811925,0.000811925,0.000811925
179,222.5,0.6583,0.56867,0.87695,0.97882,0.99632,0.99455,0.83167,0.66838,0.54479,0.92451,0.00080945,0.00080945,0.00080945
180,223.794,0.69292,0.54533,0.89945,0.98118,0.99923,0.99455,0.84292,0.64959,0.51606,0.91773,0.000806975,0.000806975,0.000806975
181,225.093,0.66793,0.54608,0.88704,0.98285,0.99839,0.99477,0.84369,0.64722,0.49703,0.91821,0.0008045,0.0008045,0.0008045
